FY,Park,Park Type,Park Score,PSA,Supervisor District
2020,Hamilton Rec Center,Neighborhood Park or Playground,0.934,PSA2,5
2020,Hayes Valley Playground,Neighborhood Park or Playground,0.994,PSA2,5
2020,Head & Brotherood Mini Park,Mini Park,0.935,PSA4,11
2020,Helen Wills Playground,Neighborhood Park or Playground,0.919,PSA1,3
2020,Herz Playground,Neighborhood Park or Playground,0.946,PSA3,10
2020,Hilltop Park,Neighborhood Park or Playground,0.944,PSA3,10
2020,Holly Park,Neighborhood Park or Playground,0.995,PSA6,9
2020,Hyde & Vallejo Mini Park,Mini Park,0.927,PSA1,3
2020,In Chan Kaajal Park,Neighborhood Park or Playground,0.987,PSA2,9
2020,Ina Coolbrith Park,Mini Park,0.781,PSA1,3
2020,India Basin - Shoreline Park,Neighborhood Park or Playground,0.937,PSA3,10
2020,J.P. Murphy Playground,Neighborhood Park or Playground,0.884,PSA4,7
2020,Jackson Playground,Neighborhood Park or Playground,0.83,PSA2,10
2020,James Rolph Jr. Playground,Neighborhood Park or Playground,0.904,PSA6,9
2020,Japantown Peace Plaza,Civic Plaza or Square,0.777,PSA2,5
2020,Jefferson Square,Neighborhood Park or Playground,0.839,PSA2,5
2020,Joe DiMaggio Playground,Neighborhood Park or Playground,0.944,PSA1,3
2020,John McLaren Park,Neighborhood Park or Playground,0.895,PSA3,"9, 10, 11"
2020,Joost & Baden Mini Park,Mini Park,0.953,PSA5,8
2020,Jose Coronado Playground,Neighborhood Park or Playground,0.847,PSA6,9
2020,Joseph Conrad Mini Park,Mini Park,0.938,PSA1,3
2020,Joseph L. Alioto Performing Arts Piazza,Civic Plaza or Square,0.965,PSA2,5
2020,Joseph Lee Rec Center,Neighborhood Park or Playground,0.953,PSA3,10
2020,Junipero Serra Playground,Neighborhood Park or Playground,0.887,PSA4,7
2020,Juri Commons,Mini Park,0.969,PSA6,8
2020,Kelloch & Velasco Mini Park,Mini Park,0.898,PSA3,10
2020,Kid Power Park,Neighborhood Park or Playground,0.978,PSA6,9
2020,Koshland Park,Neighborhood Park or Playground,0.941,PSA2,5
2020,Lafayette Park,Neighborhood Park or Playground,0.957,PSA1,2
2020,Lake Merced Park,Regional Park,0.868,PSA4,7
2020,Laurel Hill Playground,Neighborhood Park or Playground,0.857,PSA1,2
2020,Lessing & Sears Mini Park,Mini Park,0.848,PSA3,11
2020,Lincoln Park,Regional Park,0.897,PSA1,1
2020,Little Hollywood Park,Neighborhood Park or Playground,0.944,PSA3,10
2020,Louis Sutter Playground,Neighborhood Park or Playground,0.856,PSA3,9
2020,Lower Great Highway,Parkway,0.752,PSA4,1
2020,Maritime Plaza,Civic Plaza or Square,0.957,PSA1,3
2020,McCoppin Square,Neighborhood Park or Playground,0.932,PSA4,4
2020,McKinley Square,Neighborhood Park or Playground,0.994,PSA2,10
2020,Michelangelo Playground,Neighborhood Park or Playground,0.924,PSA1,3
2020,Midtown Terrace Playground,Neighborhood Park or Playground,0.887,PSA4,7
2020,Minnie and Lovie Rec Center,Neighborhood Park or Playground,0.981,PSA4,11
2020,Miraloma Playground,Neighborhood Park or Playground,0.949,PSA5,7
2020,Mission Dolores Park,Neighborhood Park or Playground,0.858,PSA6,8
2020,Mission Playground,Neighborhood Park or Playground,0.833,PSA6,9
2020,Mission Rec Center,Neighborhood Park or Playground,0.909,PSA6,9
2020,Moscone Rec Center,Neighborhood Park or Playground,0.841,PSA1,2
2020,Mountain Lake Park,Neighborhood Park or Playground,0.974,PSA1,1
2020,Mt. Olympus,Neighborhood Park or Playground,0.943,PSA5,8
2020,Mullen & Peralta Mini Park,Mini Park,0.863,PSA6,9
2020,Muriel Leff Mini Park,Mini Park,0.969,PSA1,1
2020,Noe Valley Courts,Neighborhood Park or Playground,0.982,PSA5,8
2020,Page & Laguna Mini Park,Mini Park,0.961,PSA2,5
2020,Palace of Fine Arts,Civic Plaza or Square,0.824,PSA1,2
2020,Palega Playground,Neighborhood Park or Playground,0.992,PSA3,9
2020,Park Presidio Blvd,Parkway,0.754,PSA1,1
2020,Parkside Square,Neighborhood Park or Playground,0.911,PSA4,4
2020,Parque Ninos Unidos,Neighborhood Park or Playground,0.93,PSA6,9
2020,Patricia's Green in Hayes Valley,Mini Park,0.988,PSA2,5
2020,Peixotto Playground,Neighborhood Park or Playground,0.95,PSA5,8
2020,Pine Lake Park,Regional Park,0.917,PSA4,4
2020,Portsmouth Square,Neighborhood Park or Playground,0.909,PSA1,3
2020,Potrero del Sol,Neighborhood Park or Playground,0.908,PSA6,9
2020,Potrero Hill Rec Center,Neighborhood Park or Playground,0.954,PSA2,10
2020,Precita Park,Neighborhood Park or Playground,0.977,PSA6,9
2020,Prentiss Mini Park,Mini Park,1,PSA6,9
2020,Presidio Heights Playground,Neighborhood Park or Playground,0.952,PSA1,2
2020,Presidio Wall Playground,Neighborhood Park or Playground,0.951,PSA1,2
2020,Randolph & Bright Mini Park,Mini Park,0.895,PSA4,11
2020,Raymond Kimball Playground,Neighborhood Park or Playground,0.964,PSA2,5
2020,Richmond Playground,Neighborhood Park or Playground,0.975,PSA1,1
2020,Richmond Rec Center,Neighborhood Park or Playground,1,PSA1,1
2020,Rochambeau Playground,Neighborhood Park or Playground,0.924,PSA1,1
2020,Rolph Nicol Playground,Neighborhood Park or Playground,0.807,PSA4,4
2020,Roosevelt & Henry Stairs,Mini Park,0.955,PSA5,8
2020,Saturn Street Steps,Mini Park,0.969,PSA5,8
2020,Selby & Palou Mini Park,Mini Park,0.891,PSA3,10
2020,Seward Mini Park,Mini Park,0.774,PSA5,8
2020,Sigmund Stern Recreation Grove,Regional Park,0.86,PSA4,4
2020,Silver Terrace Playground,Neighborhood Park or Playground,0.919,PSA3,10
2020,SOMA West Dog Park,Neighborhood Park or Playground,0.935,PSA2,6
2020,SOMA West Skate Park,Neighborhood Park or Playground,0.795,PSA2,6
2020,South Park,Neighborhood Park or Playground,0.869,PSA2,6
2020,South Sunset Playground,Neighborhood Park or Playground,0.906,PSA4,4
2020,St. Mary's Rec Center,Neighborhood Park or Playground,0.887,PSA6,9
2020,St. Mary's Square,Civic Plaza or Square,0.846,PSA1,3
2020,States Street Playground,Neighborhood Park or Playground,0.906,PSA5,8
2020,Sue Bierman Park,Neighborhood Park or Playground,0.892,PSA1,3
2020,Sunnyside Conservatory,Mini Park,0.988,PSA5,7
2020,Sunnyside Playground,Neighborhood Park or Playground,0.98,PSA5,7
2020,Sunset Rec Center,Neighborhood Park or Playground,0.933,PSA4,4
2020,Telegraph Hill - Pioneer Park,Civic Plaza or Square,0.913,PSA1,3
2020,Tenderloin Recreation Center,Neighborhood Park or Playground,1,PSA2,5
2020,Union Square,Civic Plaza or Square,0.873,PSA2,3
2020,Upper Noe Rec Center,Neighborhood Park or Playground,0.96,PSA5,8
2020,Victoria Manalo Draves Park,Neighborhood Park or Playground,0.931,PSA2,6
2020,Visitacion Valley Greenway,Neighborhood Park or Playground,0.861,PSA3,10
2020,Visitacion Valley Playground,Neighborhood Park or Playground,0.942,PSA3,10
2020,Walter Haas Playground,Neighborhood Park or Playground,0.845,PSA5,8
2020,Washington & Hyde Mini Park,Mini Park,0.926,PSA1,3
2020,Washington Square,Civic Plaza or Square,0.951,PSA1,3
2020,West Sunset Playground,Neighborhood Park or Playground,0.966,PSA4,4
2020,Woh Hei Yuen Playground,Neighborhood Park or Playground,0.966,PSA1,3
2020,Yacht Harbor and Marina Green,Regional Park,0.903,PSA1,2
2020,Youngblood-Coleman Playground,Neighborhood Park or Playground,0.914,PSA3,10
2019,10th Ave & Clement Mini Park,Mini Park,0.972,PSA1,1
2019,24th & York Mini Park,Mini Park,0.935,PSA6,9
2019,Adam Rodgers Park,Neighborhood Park or Playground,0.788,PSA3,10
2019,Alamo Square,Neighborhood Park or Playground,0.848,PSA2,5
2019,Alice Chalmers Playground,Neighborhood Park or Playground,0.823,PSA3,11
2019,Alice Marble Tennis Courts,Neighborhood Park or Playground,0.943,PSA1,3
2019,Alioto Mini Park,Mini Park,0.934,PSA6,9
2019,Allyne Park,Neighborhood Park or Playground,0.911,PSA1,2
2019,Alta Plaza Park,Neighborhood Park or Playground,0.933,PSA1,2
2019,Angelo J. Rossi Playground,Neighborhood Park or Playground,0.933,PSA1,1
2019,Aptos Playground,Neighborhood Park or Playground,0.921,PSA4,7
2019,Argonne Playground,Neighborhood Park or Playground,0.99,PSA1,1
2019,Balboa Park,Neighborhood Park or Playground,0.912,PSA5,11
2019,Bayview K.C. Jones Playground,Neighborhood Park or Playground,0.876,PSA3,10
2019,Beideman & O'Farrell Mini Park,Mini Park,0.97,PSA2,5
2019,Bernal Heights Rec Center,Neighborhood Park or Playground,0.958,PSA6,9
2019,Betty Ann Ong Chinese Rec Center,Neighborhood Park or Playground,0.979,PSA1,3
2019,Broadway Tunnel West Mini Park,Mini Park,0.953,PSA1,3
2019,Brooks Park,Neighborhood Park or Playground,0.861,PSA4,11
2019,Buchanan Street Mall,Neighborhood Park or Playground,0.777,PSA2,5
2019,Buena Vista Park,Regional Park,0.812,PSA5,8
2019,Bush & Broderick Mini Park,Mini Park,0.882,PSA2,2
2019,Cabrillo Playground,Neighborhood Park or Playground,0.952,PSA1,1
2019,Carl Larsen Park,Neighborhood Park or Playground,0.928,PSA4,4
2019,Cayuga & Lamartine Mini Park,Mini Park,0.933,PSA5,11
2019,Cayuga Playground,Neighborhood Park or Playground,0.922,PSA3,11
2019,Coleridge Mini Park,Mini Park,0.95,PSA6,9
2019,Collis P. Huntington Park,Civic Plaza or Square,0.973,PSA1,3
2019,Corona Heights Park,Neighborhood Park or Playground,0.926,PSA5,8
2019,Coso & Precita Mini Park,Mini Park,0.87,PSA6,9
2019,Cottage Row Mini Park,Mini Park,0.978,PSA2,5
2019,Cow Hollow Playground,Neighborhood Park or Playground,0.963,PSA1,2
2019,Crocker Amazon Playground,Neighborhood Park or Playground,0.853,PSA3,11
2019,Douglass Playground,Neighborhood Park or Playground,0.903,PSA5,8
2019,Duboce Park,Neighborhood Park or Playground,0.918,PSA6,8
2019,DuPont Tennis Courts,Neighborhood Park or Playground,0.992,PSA1,1
2019,Embarcadero Plaza,Civic Plaza or Square,0.778,PSA1,3
2019,Esprit Park,Neighborhood Park or Playground,0.847,PSA2,10
2019,Eugene Friend Rec Center,Neighborhood Park or Playground,0.816,PSA2,6
2019,Eureka Valley Rec Center,Neighborhood Park or Playground,0.944,PSA5,8
2019,Excelsior Playground,Neighborhood Park or Playground,0.931,PSA3,11
2019,Fallen Bridge Mini Park,Mini Park,0.966,PSA2,10
2019,Father Alfred E. Boeddeker Park,Neighborhood Park or Playground,0.988,PSA2,5
2019,Fay Park,Neighborhood Park or Playground,0.976,PSA1,3
2019,Fillmore & Turk Mini Park,Mini Park,0.892,PSA2,5
2019,Franklin Square,Neighborhood Park or Playground,0.871,PSA2,9
2019,Fulton Playground,Neighborhood Park or Playground,0.986,PSA1,1
2019,Garfield Square,Neighborhood Park or Playground,0.839,PSA6,9
2019,George Christopher Playground,Neighborhood Park or Playground,0.873,PSA5,8
2019,Gilman Playground,Neighborhood Park or Playground,0.915,PSA3,10
2019,Glen Canyon Park,Regional Park,0.913,PSA5,8
2019,Golden Gate & Steiner Mini Park,Mini Park,0.967,PSA2,5
2019,Golden Gate Heights Park,Neighborhood Park or Playground,0.907,PSA4,7
2019,Golden Gate Park,Regional Park,0.882,GGP,1
2019,Grattan Playground,Neighborhood Park or Playground,0.893,PSA2,8
2019,Hamilton Rec Center,Neighborhood Park or Playground,0.955,PSA2,5
2019,Hayes Valley Playground,Neighborhood Park or Playground,0.924,PSA2,5
2019,Head & Brotherood Mini Park,Mini Park,0.865,PSA4,11
2019,Helen Wills Playground,Neighborhood Park or Playground,0.934,PSA1,3
2019,Herz Playground,Neighborhood Park or Playground,0.886,PSA3,10
2019,Hilltop Park,Neighborhood Park or Playground,0.882,PSA3,10
2019,Holly Park,Neighborhood Park or Playground,0.92,PSA6,9
2019,Hyde & Vallejo Mini Park,Mini Park,0.988,PSA1,3
2019,In Chan Kaajal Park,Neighborhood Park or Playground,0.927,PSA2,9
2019,Ina Coolbrith Park,Mini Park,0.932,PSA1,3
2019,India Basin - Shoreline Park,Neighborhood Park or Playground,0.885,PSA3,10
2019,J.P. Murphy Playground,Neighborhood Park or Playground,0.941,PSA4,7
2019,Jackson Playground,Neighborhood Park or Playground,0.887,PSA2,10
2019,James Rolph Jr. Playground,Neighborhood Park or Playground,0.869,PSA6,9
2019,Japantown Peace Plaza,Civic Plaza or Square,0.934,PSA2,5
2019,Jefferson Square,Neighborhood Park or Playground,0.884,PSA2,5
2019,Joe DiMaggio Playground,Neighborhood Park or Playground,0.964,PSA1,3
2019,John McLaren Park,Neighborhood Park or Playground,0.869,PSA3,"9, 10, 11"
2019,Joost & Baden Mini Park,Mini Park,0.933,PSA5,8
2019,Jose Coronado Playground,Neighborhood Park or Playground,0.944,PSA6,9
2019,Joseph Conrad Mini Park,Mini Park,0.937,PSA1,3
2019,Joseph L. Alioto Performing Arts Piazza,Civic Plaza or Square,0.959,PSA2,5
2019,Joseph Lee Rec Center,Neighborhood Park or Playground,0.94,PSA3,10
2019,Junipero Serra Playground,Neighborhood Park or Playground,0.869,PSA4,7
2019,Juri Commons,Mini Park,0.904,PSA6,8
2019,Kelloch & Velasco Mini Park,Mini Park,0.942,PSA3,10
2019,Kid Power Park,Neighborhood Park or Playground,0.936,PSA6,9
2019,Koshland Park,Neighborhood Park or Playground,0.873,PSA2,5
2019,Lafayette Park,Neighborhood Park or Playground,0.982,PSA1,2
2019,Lake Merced Park,Regional Park,0.871,PSA4,7
2019,Laurel Hill Playground,Neighborhood Park or Playground,0.877,PSA1,2
2019,Lessing & Sears Mini Park,Mini Park,0.85,PSA3,11
2019,Lincoln Park,Regional Park,0.869,PSA1,1
2019,Little Hollywood Park,Neighborhood Park or Playground,0.909,PSA3,10
2019,Louis Sutter Playground,Neighborhood Park or Playground,0.867,PSA3,9
2019,Lower Great Highway,Parkway,0.922,PSA4,1
2019,Margaret S.Hayward Playground,Neighborhood Park or Playground,0.878,PSA2,5
2019,Maritime Plaza,Civic Plaza or Square,0.987,PSA1,3
2019,McCoppin Square,Neighborhood Park or Playground,0.911,PSA4,4
2019,McKinley Square,Neighborhood Park or Playground,0.894,PSA2,10
2019,Merced Heights Playground,Neighborhood Park or Playground,0.838,PSA4,11
2019,Michelangelo Playground,Neighborhood Park or Playground,0.991,PSA1,3
2019,Midtown Terrace Playground,Neighborhood Park or Playground,0.947,PSA4,7
2019,Minnie and Lovie Rec Center,Neighborhood Park or Playground,0.886,PSA4,11
2019,Miraloma Playground,Neighborhood Park or Playground,0.908,PSA5,7
2019,Mission Dolores Park,Neighborhood Park or Playground,0.9,PSA6,8
2019,Mission Playground,Neighborhood Park or Playground,0.95,PSA6,9
2019,Mission Rec Center,Neighborhood Park or Playground,0.961,PSA6,9
2019,Moscone Rec Center,Neighborhood Park or Playground,0.957,PSA1,2
2019,Mountain Lake Park,Neighborhood Park or Playground,0.897,PSA1,1
2019,Mt. Olympus,Neighborhood Park or Playground,0.888,PSA5,8
2019,Mullen & Peralta Mini Park,Mini Park,0.914,PSA6,9
2019,Muriel Leff Mini Park,Mini Park,0.952,PSA1,1
2019,Noe Valley Courts,Neighborhood Park or Playground,0.959,PSA5,8
2019,Page & Laguna Mini Park,Mini Park,0.973,PSA2,5
2019,Palace of Fine Arts,Civic Plaza or Square,0.957,PSA1,2
2019,Palega Playground,Neighborhood Park or Playground,0.974,PSA3,9
2019,Palou & Phelps Park,Neighborhood Park or Playground,0.901,PSA3,10
2019,Park Presidio Blvd,Parkway,0.885,PSA1,1
2019,Parkside Square,Neighborhood Park or Playground,0.939,PSA4,4
2019,Parque Ninos Unidos,Neighborhood Park or Playground,0.939,PSA6,9
2019,Patricia's Green in Hayes Valley,Mini Park,0.918,PSA2,5
2019,Peixotto Playground,Neighborhood Park or Playground,0.923,PSA5,8
2019,Pine Lake Park,Regional Park,0.86,PSA4,4
2019,Portsmouth Square,Neighborhood Park or Playground,0.943,PSA1,3
2019,Potrero del Sol,Neighborhood Park or Playground,0.861,PSA6,9
2019,Potrero Hill Rec Center,Neighborhood Park or Playground,0.919,PSA2,10
2019,Precita Park,Neighborhood Park or Playground,0.922,PSA6,9
2019,Prentiss Mini Park,Mini Park,0.967,PSA6,9
2019,Presidio Heights Playground,Neighborhood Park or Playground,0.929,PSA1,2
2019,Presidio Wall Playground,Neighborhood Park or Playground,0.905,PSA1,2
2019,Randolph & Bright Mini Park,Mini Park,0.882,PSA4,11
2019,Raymond Kimball Playground,Neighborhood Park or Playground,0.926,PSA2,5
2019,Richmond Playground,Neighborhood Park or Playground,0.943,PSA1,1
2019,Richmond Rec Center,Neighborhood Park or Playground,0.959,PSA1,1
2019,Rochambeau Playground,Neighborhood Park or Playground,0.949,PSA1,1
2019,Rolph Nicol Playground,Neighborhood Park or Playground,0.95,PSA4,4
2019,Roosevelt & Henry Stairs,Mini Park,0.887,PSA5,8
2019,Saturn Street Steps,Mini Park,0.904,PSA5,8
2019,Selby & Palou Mini Park,Mini Park,0.917,PSA3,10
2019,Seward Mini Park,Mini Park,0.975,PSA5,8
2019,Sgt. John Macaulay Park,Mini Park,0.969,PSA2,5
2019,Sigmund Stern Recreation Grove,Regional Park,0.859,PSA4,4
2019,Silver Terrace Playground,Neighborhood Park or Playground,0.866,PSA3,10
2019,SOMA West Dog Park,Neighborhood Park or Playground,0.88,PSA2,6
2019,SOMA West Skate Park,Neighborhood Park or Playground,0.855,PSA2,6
2019,South Park,Neighborhood Park or Playground,0.957,PSA2,6
2019,South Sunset Playground,Neighborhood Park or Playground,0.893,PSA4,4
2019,St. Mary's Rec Center,Neighborhood Park or Playground,0.95,PSA6,9
2019,St. Mary's Square,Civic Plaza or Square,0.944,PSA1,3
2019,States Street Playground,Neighborhood Park or Playground,0.881,PSA5,8
2019,Sue Bierman Park,Neighborhood Park or Playground,0.901,PSA1,3
2019,Sunnyside Conservatory,Mini Park,0.929,PSA5,7
2019,Sunnyside Playground,Neighborhood Park or Playground,0.898,PSA5,7
2019,Sunset Rec Center,Neighborhood Park or Playground,0.937,PSA4,4
2019,Telegraph Hill - Pioneer Park,Civic Plaza or Square,0.901,PSA1,3
2019,Tenderloin Recreation Center,Neighborhood Park or Playground,0.919,PSA2,5
2019,Turk & Hyde Mini Park,Mini Park,0.836,PSA2,5
2019,Union Square,Civic Plaza or Square,0.907,PSA2,3
2019,Upper Noe Rec Center,Neighborhood Park or Playground,0.902,PSA5,8
2019,Victoria Manalo Draves Park,Neighborhood Park or Playground,0.913,PSA2,6
2019,Visitacion Valley Greenway,Neighborhood Park or Playground,0.976,PSA3,10
2019,Visitacion Valley Playground,Neighborhood Park or Playground,0.841,PSA3,10
2019,Walter Haas Playground,Neighborhood Park or Playground,0.875,PSA5,8
2019,Washington & Hyde Mini Park,Mini Park,0.941,PSA1,3
2019,Washington Square,Civic Plaza or Square,0.948,PSA1,3
2019,West Portal Playground,Neighborhood Park or Playground,0.906,PSA4,7
2019,West Sunset Playground,Neighborhood Park or Playground,0.972,PSA4,4
2019,Woh Hei Yuen Playground,Neighborhood Park or Playground,0.932,PSA1,3
2019,Yacht Harbor and Marina Green,Regional Park,0.948,PSA1,2
2019,Youngblood-Coleman Playground,Neighborhood Park or Playground,0.854,PSA3,10
2018,10th Ave & Clement Mini Park,Mini Park,0.981,PSA1,1
2018,24th & York Mini Park,Mini Park,0.956,PSA6,9
2018,Adam Rodgers Park,Neighborhood Park or Playground,0.799,PSA3,10
2018,Alamo Square,Neighborhood Park or Playground,0.909,PSA2,5
2018,Alice Chalmers Playground,Neighborhood Park or Playground,0.774,PSA3,11
2018,Alice Marble Tennis Courts,Neighborhood Park or Playground,0.899,PSA1,3
2018,Alioto Mini Park,Mini Park,0.923,PSA6,9
2018,Allyne Park,Neighborhood Park or Playground,0.92,PSA1,2
2018,Alta Plaza Park,Neighborhood Park or Playground,0.919,PSA1,2
2018,Angelo J. Rossi Playground,Neighborhood Park or Playground,0.88,PSA1,1
2018,Aptos Playground,Neighborhood Park or Playground,0.82,PSA4,7
2018,Argonne Playground,Neighborhood Park or Playground,0.926,PSA1,1
2018,Balboa Park,Neighborhood Park or Playground,0.904,PSA5,11
2018,Bayview K.C. Jones Playground,Neighborhood Park or Playground,0.815,PSA3,10
2018,Beideman & O'Farrell Mini Park,Mini Park,0.898,PSA2,5
2018,Bernal Heights Rec Center,Neighborhood Park or Playground,0.914,PSA6,9
2018,Betty Ann Ong Chinese Rec Center,Neighborhood Park or Playground,0.935,PSA1,3
2018,Broadway Tunnel West Mini Park,Mini Park,0.868,PSA1,3
2018,Brooks Park,Neighborhood Park or Playground,0.821,PSA4,11
2018,Buchanan Street Mall,Neighborhood Park or Playground,0.846,PSA2,5
2018,Buena Vista Park,Regional Park,0.81,PSA5,8
2018,Bush & Broderick Mini Park,Mini Park,0.81,PSA2,2
2018,Cabrillo Playground,Neighborhood Park or Playground,0.996,PSA1,1
2018,Carl Larsen Park,Neighborhood Park or Playground,0.884,PSA4,4
2018,Cayuga & Lamartine Mini Park,Mini Park,0.89,PSA5,11
2018,Cayuga Playground,Neighborhood Park or Playground,0.899,PSA3,11
2018,Coleridge Mini Park,Mini Park,0.85,PSA6,9
2018,Collis P. Huntington Park,Civic Plaza or Square,0.965,PSA1,3
2018,Corona Heights Park,Neighborhood Park or Playground,0.92,PSA5,8
2018,Coso & Precita Mini Park,Mini Park,0.958,PSA6,9
2018,Cottage Row Mini Park,Mini Park,0.919,PSA2,5
2018,Cow Hollow Playground,Neighborhood Park or Playground,0.877,PSA1,2
2018,Crocker Amazon Playground,Neighborhood Park or Playground,0.779,PSA3,11
2018,Douglass Playground,Neighborhood Park or Playground,0.926,PSA5,8
2018,Duboce Park,Neighborhood Park or Playground,0.905,PSA6,8
2018,DuPont Tennis Courts,Neighborhood Park or Playground,0.97,PSA1,1
2018,Embarcadero Plaza,Civic Plaza or Square,0.826,PSA1,3
2018,Esprit Park,Neighborhood Park or Playground,0.756,PSA2,10
2018,Eugene Friend Rec Center,Neighborhood Park or Playground,0.886,PSA2,6
2018,Eureka Valley Rec Center,Neighborhood Park or Playground,0.985,PSA5,8
2018,Excelsior Playground,Neighborhood Park or Playground,0.872,PSA3,11
2018,Fallen Bridge Mini Park,Mini Park,0.983,PSA2,10
2018,Father Alfred E. Boeddeker Park,Neighborhood Park or Playground,0.948,PSA2,5
2018,Fay Park,Neighborhood Park or Playground,0.978,PSA1,3
2018,Fillmore & Turk Mini Park,Mini Park,0.915,PSA2,5
2018,Franklin Square,Neighborhood Park or Playground,0.871,PSA2,9
2018,Fulton Playground,Neighborhood Park or Playground,0.973,PSA1,1
2018,Garfield Square,Neighborhood Park or Playground,0.839,PSA6,9
2018,George Christopher Playground,Neighborhood Park or Playground,0.848,PSA5,8
2018,Gilman Playground,Neighborhood Park or Playground,0.931,PSA3,10
2018,Glen Canyon Park,Regional Park,0.967,PSA5,8
2018,Golden Gate & Steiner Mini Park,Mini Park,0.931,PSA2,5
2018,Golden Gate Heights Park,Neighborhood Park or Playground,0.822,PSA4,7
2018,Golden Gate Park,Regional Park,0.883,GGP,1
2018,Grattan Playground,Neighborhood Park or Playground,0.847,PSA2,8
2018,Hamilton Rec Center,Neighborhood Park or Playground,0.963,PSA2,5
2018,Hayes Valley Playground,Neighborhood Park or Playground,0.938,PSA2,5
2018,Head & Brotherood Mini Park,Mini Park,0.804,PSA4,11
2018,Helen Wills Playground,Neighborhood Park or Playground,0.895,PSA1,3
2018,Herz Playground,Neighborhood Park or Playground,0.877,PSA3,10
2018,Hilltop Park,Neighborhood Park or Playground,0.874,PSA3,10
2018,Holly Park,Neighborhood Park or Playground,0.934,PSA6,9
2018,Hyde & Vallejo Mini Park,Mini Park,0.883,PSA1,3
2018,In Chan Kaajal Park,Neighborhood Park or Playground,0.949,PSA2,9
2018,Ina Coolbrith Park,Mini Park,0.908,PSA1,3
2018,India Basin - Shoreline Park,Neighborhood Park or Playground,0.769,PSA3,10
2018,J.P. Murphy Playground,Neighborhood Park or Playground,0.86,PSA4,7
2018,Jackson Playground,Neighborhood Park or Playground,0.913,PSA2,10
2018,James Rolph Jr. Playground,Neighborhood Park or Playground,0.883,PSA6,9
2018,Japantown Peace Plaza,Civic Plaza or Square,0.837,PSA2,5
2018,Jefferson Square,Neighborhood Park or Playground,0.945,PSA2,5
2018,Joe DiMaggio Playground,Neighborhood Park or Playground,0.917,PSA1,3
2018,John McLaren Park,Neighborhood Park or Playground,0.807,PSA3,"9, 10, 11"
2018,Joost & Baden Mini Park,Mini Park,0.938,PSA5,8
2018,Jose Coronado Playground,Neighborhood Park or Playground,0.864,PSA6,9
2018,Joseph Conrad Mini Park,Mini Park,0.913,PSA1,3
2018,Joseph L. Alioto Performing Arts Piazza,Civic Plaza or Square,0.938,PSA2,5
2018,Joseph Lee Rec Center,Neighborhood Park or Playground,0.896,PSA3,10
2018,Junipero Serra Playground,Neighborhood Park or Playground,0.786,PSA4,7
2018,Juri Commons,Mini Park,0.853,PSA6,8
2018,Kelloch & Velasco Mini Park,Mini Park,0.839,PSA3,10
2018,Kid Power Park,Neighborhood Park or Playground,0.94,PSA6,9
2018,Koshland Park,Neighborhood Park or Playground,0.824,PSA2,5
2018,Lafayette Park,Neighborhood Park or Playground,0.927,PSA1,2
2018,Lake Merced Park,Regional Park,0.865,PSA4,7
2018,Laurel Hill Playground,Neighborhood Park or Playground,0.911,PSA1,2
2018,Lessing & Sears Mini Park,Mini Park,0.838,PSA3,11
2018,Lincoln Park,Regional Park,0.854,PSA1,1
2018,Little Hollywood Park,Neighborhood Park or Playground,0.782,PSA3,10
2018,Louis Sutter Playground,Neighborhood Park or Playground,0.935,PSA3,9
2018,Lower Great Highway,Parkway,0.88,PSA4,1
2018,Margaret S.Hayward Playground,Neighborhood Park or Playground,0.816,PSA2,5
2018,Maritime Plaza,Civic Plaza or Square,0.902,PSA1,3
2018,McCoppin Square,Neighborhood Park or Playground,0.922,PSA4,4
2018,McKinley Square,Neighborhood Park or Playground,0.913,PSA2,10
2018,Merced Heights Playground,Neighborhood Park or Playground,0.842,PSA4,11
2018,Michelangelo Playground,Neighborhood Park or Playground,0.931,PSA1,3
2018,Midtown Terrace Playground,Neighborhood Park or Playground,0.925,PSA4,7
2018,Minnie and Lovie Rec Center,Neighborhood Park or Playground,0.867,PSA4,11
2018,Miraloma Playground,Neighborhood Park or Playground,0.901,PSA5,7
2018,Mission Dolores Park,Neighborhood Park or Playground,0.91,PSA6,8
2018,Mission Playground,Neighborhood Park or Playground,0.952,PSA6,9
2018,Mission Rec Center,Neighborhood Park or Playground,0.888,PSA6,9
2018,Moscone Rec Center,Neighborhood Park or Playground,0.923,PSA1,2
2018,Mountain Lake Park,Neighborhood Park or Playground,0.934,PSA1,1
2018,Mt. Olympus,Neighborhood Park or Playground,0.891,PSA5,8
2018,Mullen & Peralta Mini Park,Mini Park,0.926,PSA6,9
2018,Muriel Leff Mini Park,Mini Park,0.937,PSA1,1
2018,Noe Valley Courts,Neighborhood Park or Playground,0.941,PSA5,8
2018,Page & Laguna Mini Park,Mini Park,0.944,PSA2,5
2018,Palace of Fine Arts,Civic Plaza or Square,0.966,PSA1,2
2018,Palega Playground,Neighborhood Park or Playground,0.964,PSA3,9
2018,Palou & Phelps Park,Neighborhood Park or Playground,0.814,PSA3,10
2018,Park Presidio Blvd,Parkway,0.712,PSA1,1
2018,Parkside Square,Neighborhood Park or Playground,0.932,PSA4,4
2018,Parque Ninos Unidos,Neighborhood Park or Playground,0.914,PSA6,9
2018,Patricia's Green in Hayes Valley,Mini Park,0.935,PSA2,5
2018,Peixotto Playground,Neighborhood Park or Playground,0.902,PSA5,8
